,Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
0,2023-01-01 00:00:00,1,1754.7,5189.7,1472.45,1472.45,2500.38
1,2023-01-01 00:15:00,1,1734.7,4315.7,1308.58,1308.57,2650.55
2,2023-01-01 00:30:00,2,1990.5,3862.2,1483.7,1483.7,2691.84
3,2023-01-01 00:45:00,2,1770.5,4025.2,1480.78,1480.78,2450.92
4,2023-01-01 01:00:00,3,1843.9,4737.6,1547.89,1547.89,2450.71
5,2023-01-01 01:15:00,3,1815.8,4913.5,1520.12,1520.12,2450.38
6,2023-01-01 01:30:00,4,2020.2,4892.9,1710.52,1710.52,2450.68
7,2023-01-01 01:45:00,4,2037.1,4692.0,1632.0,1632.0,2650.67
8,2023-01-01 02:00:00,5,1930.9,4907.8,1556.34,1556.33,2650.52
9,2023-01-01 02:15:00,5,2013.4,4881.2,1663.3,1663.3,2600.03
10,2023-01-01 02:30:00,6,2199.1,5051.9,1784.3,1784.3,2650.86
11,2023-01-01 02:45:00,6,2173.9,5259.2,1856.46,1856.46,2450.44
12,2023-01-01 03:00:00,7,2253.8,5357.0,1937.88,1937.88,2450.54
13,2023-01-01 03:15:00,7,2262.9,5323.0,1945.56,1945.56,2450.34
14,2023-01-01 03:30:00,8,2122.9,5128.3,1805.58,1805.58,2450.32
15,2023-01-01 03:45:00,8,2065.8,5085.4,1748.5,1748.5,2450.3
16,2023-01-01 04:00:00,9,2489.9,5194.8,1787.3,1787.3,2768.73
17,2023-01-01 04:15:00,9,2696.6,4783.2,1708.8,1708.8,3500.89
18,2023-01-01 04:30:00,10,2734.7,4666.1,1844.6,1844.6,3501.84
19,2023-01-01 04:45:00,10,3172.6,5089.7,2226.6,2226.6,3501.55
20,2023-01-01 05:00:00,11,2478.4,5295.8,2164.4,2164.4,2600.87
21,2023-01-01 05:15:00,11,2612.3,4972.8,1967.4,1967.4,3229.03
22,2023-01-01 05:30:00,12,2953.5,4986.1,2223.2,2223.2,3570.83
23,2023-01-01 05:45:00,12,2822.3,4639.5,2316.8,2316.8,3039.88
24,2023-01-01 06:00:00,13,2595.6,4730.0,2014.48,2014.48,3774.84
25,2023-01-01 06:15:00,13,2952.6,4282.1,1993.32,1993.32,4260.91
26,2023-01-01 06:30:00,14,3641.8,3636.6,2254.4,2254.4,5529.62
27,2023-01-01 06:45:00,14,4053.2,3882.4,2641.7,2641.7,5529.23
28,2023-01-01 07:00:00,15,3779.6,4302.0,2793.1,2793.1,4900.39
29,2023-01-01 07:15:00,15,4002.1,3879.1,2734.9,2734.9,5799.15
30,2023-01-01 07:30:00,16,3963.9,4020.1,2792.2,2792.2,5400.3
31,2023-01-01 07:45:00,16,4495.1,3960.6,2975.0,2975.0,5799.55
32,2023-01-01 08:00:00,17,3864.4,4132.4,2801.3,2801.3,5000.43
33,2023-01-01 08:15:00,17,3982.4,3956.4,2479.1,2479.1,5529.39
34,2023-01-01 08:30:00,18,4553.0,3797.5,2951.0,2951.0,6000.16
35,2023-01-01 08:45:00,18,4510.3,3921.2,3075.3,3075.3,6000.01
36,2023-01-01 09:00:00,19,4010.9,3385.5,2541.1,2541.1,6000.14
37,2023-01-01 09:15:00,19,4539.2,3426.6,2704.5,2704.5,6000.34
38,2023-01-01 09:30:00,20,5647.8,3366.3,3051.2,3051.2,8200.28
39,2023-01-01 09:45:00,20,5623.2,3356.2,3041.1,3041.1,8200.14
40,2023-01-01 10:00:00,21,5535.5,3247.6,2781.85,2781.85,8753.09
41,2023-01-01 10:15:00,21,4901.6,3440.5,2926.1,2926.1,6999.85
42,2023-01-01 10:30:00,22,5153.6,3784.8,3104.24,3104.24,8750.48
43,2023-01-01 10:45:00,22,5074.5,4130.2,3148.9,3148.9,7335.69
44,2023-01-01 11:00:00,23,3977.3,4298.3,2470.3,2470.3,5899.06
45,2023-01-01 11:15:00,23,3604.4,4436.8,2286.26,2286.26,4200.98
46,2023-01-01 11:30:00,24,2988.7,4614.0,1967.4,1967.4,4199.19
47,2023-01-01 11:45:00,24,2789.3,4698.0,1865.4,1865.4,4000.89
48,2023-01-01 12:00:00,25,3345.2,4681.1,1924.11,1924.11,4774.45
49,2023-01-01 12:15:00,25,3227.0,4507.3,1901.22,1901.21,4999.18
50,2023-01-01 12:30:00,26,2935.1,4836.2,1768.9,1768.9,4630.15
51,2023-01-01 12:45:00,26,2894.3,5109.7,1851.03,1851.03,4000.79
52,2023-01-01 13:00:00,27,2346.0,5770.9,1900.6,1900.6,3001.83
53,2023-01-01 13:15:00,27,2329.0,5605.2,1767.5,1767.5,3400.22
54,2023-01-01 13:30:00,28,2196.3,5464.6,1871.0,1871.0,2950.93
55,2023-01-01 13:45:00,28,2252.6,5223.3,1748.6,1748.6,3120.84
56,2023-01-01 14:00:00,29,2327.9,4575.7,1257.16,1257.16,3681.0
57,2023-01-01 14:15:00,29,2506.3,4413.6,1291.87,1291.87,4260.53
58,2023-01-01 14:30:00,30,3228.8,3896.6,1824.8,1824.8,5000.25
59,2023-01-01 14:45:00,30,3445.5,3843.7,1814.51,1814.51,5349.21
