2026-05-19 01:42:49,920 | kafka_producer | INFO | Starting simulated market stream.
2026-05-19 01:42:50,040 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 0, 'Datetime': '2023-01-01 00:00:00', 'Session ID': 1, 'Purchase Bid (MW)': 1754.7, 'Sell Bid (MW)': 5189.7, 'MCV (MW)': 1472.45, 'Final Scheduled Volume (MW)': 1472.45, 'MCP (Rs/MWh) *': 2500.38}
2026-05-19 01:42:51,043 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 1, 'Datetime': '2023-01-01 00:15:00', 'Session ID': 1, 'Purchase Bid (MW)': 1734.7, 'Sell Bid (MW)': 4315.7, 'MCV (MW)': 1308.58, 'Final Scheduled Volume (MW)': 1308.57, 'MCP (Rs/MWh) *': 2650.55}
2026-05-19 01:42:52,046 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 2, 'Datetime': '2023-01-01 00:30:00', 'Session ID': 2, 'Purchase Bid (MW)': 1990.5, 'Sell Bid (MW)': 3862.2, 'MCV (MW)': 1483.7, 'Final Scheduled Volume (MW)': 1483.7, 'MCP (Rs/MWh) *': 2691.84}
2026-05-19 01:42:53,050 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 3, 'Datetime': '2023-01-01 00:45:00', 'Session ID': 2, 'Purchase Bid (MW)': 1770.5, 'Sell Bid (MW)': 4025.2, 'MCV (MW)': 1480.78, 'Final Scheduled Volume (MW)': 1480.78, 'MCP (Rs/MWh) *': 2450.92}
2026-05-19 01:42:54,052 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 4, 'Datetime': '2023-01-01 01:00:00', 'Session ID': 3, 'Purchase Bid (MW)': 1843.9, 'Sell Bid (MW)': 4737.6, 'MCV (MW)': 1547.89, 'Final Scheduled Volume (MW)': 1547.89, 'MCP (Rs/MWh) *': 2450.71}
2026-05-19 01:42:55,056 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 5, 'Datetime': '2023-01-01 01:15:00', 'Session ID': 3, 'Purchase Bid (MW)': 1815.8, 'Sell Bid (MW)': 4913.5, 'MCV (MW)': 1520.12, 'Final Scheduled Volume (MW)': 1520.12, 'MCP (Rs/MWh) *': 2450.38}
2026-05-19 01:42:56,058 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 6, 'Datetime': '2023-01-01 01:30:00', 'Session ID': 4, 'Purchase Bid (MW)': 2020.2, 'Sell Bid (MW)': 4892.9, 'MCV (MW)': 1710.52, 'Final Scheduled Volume (MW)': 1710.52, 'MCP (Rs/MWh) *': 2450.68}
2026-05-19 01:42:57,060 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 7, 'Datetime': '2023-01-01 01:45:00', 'Session ID': 4, 'Purchase Bid (MW)': 2037.1, 'Sell Bid (MW)': 4692.0, 'MCV (MW)': 1632.0, 'Final Scheduled Volume (MW)': 1632.0, 'MCP (Rs/MWh) *': 2650.67}
2026-05-19 01:42:58,062 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 8, 'Datetime': '2023-01-01 02:00:00', 'Session ID': 5, 'Purchase Bid (MW)': 1930.9, 'Sell Bid (MW)': 4907.8, 'MCV (MW)': 1556.34, 'Final Scheduled Volume (MW)': 1556.33, 'MCP (Rs/MWh) *': 2650.52}
2026-05-19 01:42:59,066 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 9, 'Datetime': '2023-01-01 02:15:00', 'Session ID': 5, 'Purchase Bid (MW)': 2013.4, 'Sell Bid (MW)': 4881.2, 'MCV (MW)': 1663.3, 'Final Scheduled Volume (MW)': 1663.3, 'MCP (Rs/MWh) *': 2600.03}
2026-05-19 01:43:00,071 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 10, 'Datetime': '2023-01-01 02:30:00', 'Session ID': 6, 'Purchase Bid (MW)': 2199.1, 'Sell Bid (MW)': 5051.9, 'MCV (MW)': 1784.3, 'Final Scheduled Volume (MW)': 1784.3, 'MCP (Rs/MWh) *': 2650.86}
2026-05-19 01:43:01,074 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 11, 'Datetime': '2023-01-01 02:45:00', 'Session ID': 6, 'Purchase Bid (MW)': 2173.9, 'Sell Bid (MW)': 5259.2, 'MCV (MW)': 1856.46, 'Final Scheduled Volume (MW)': 1856.46, 'MCP (Rs/MWh) *': 2450.44}
2026-05-19 01:43:02,076 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 12, 'Datetime': '2023-01-01 03:00:00', 'Session ID': 7, 'Purchase Bid (MW)': 2253.8, 'Sell Bid (MW)': 5357.0, 'MCV (MW)': 1937.88, 'Final Scheduled Volume (MW)': 1937.88, 'MCP (Rs/MWh) *': 2450.54}
