2026-05-19 15:38:34,446 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 15:38:39,421 | model_loader | INFO | Model loaded successfully.
2026-05-19 15:38:42,028 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 15:38:44,231 | model_loader | INFO | Model loaded successfully.
2026-05-19 15:41:47,066 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 15:41:50,118 | model_loader | INFO | Model loaded successfully.
2026-05-19 15:43:03,763 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 15:43:06,695 | model_loader | INFO | Model loaded successfully.
2026-05-19 15:43:08,880 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 15:43:11,546 | model_loader | INFO | Model loaded successfully.
2026-05-19 15:58:55,917 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 15:59:00,350 | model_loader | INFO | Model loaded successfully.
2026-05-19 15:59:03,088 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 15:59:05,835 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:03:17,418 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:03:20,451 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:09:35,031 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:09:41,996 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:09:50,747 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:09:54,031 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:15:14,689 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:15:17,869 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:15:20,258 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:15:22,574 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:19:36,768 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:19:40,429 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:20:18,414 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:20:22,001 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:23:47,333 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:23:51,255 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:23:53,655 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:23:56,120 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:27:43,662 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:27:48,079 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:28:03,356 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:28:06,902 | model_loader | INFO | Model loaded successfully.
2026-05-19 16:28:24,214 | model_loader | INFO | Loading model from models/xgboost_model.pkl
2026-05-19 16:28:27,608 | model_loader | INFO | Model loaded successfully.
