2026-05-19 17:07:51,471 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:09:59,984 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:09:59,984 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:09:59,984 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:09:59,992 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,014 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,017 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,034 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,034 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,045 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,047 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,047 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,080 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,082 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,084 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,085 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,089 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,092 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,094 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,095 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,096 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,097 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,098 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,099 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,100 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,101 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,102 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,103 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,104 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,108 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,109 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,110 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,111 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,113 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,116 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,117 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,118 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,119 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,120 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,125 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,126 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,127 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,128 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,129 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,129 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,130 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,131 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,132 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,133 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,134 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,134 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,135 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,136 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,139 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,142 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,143 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,144 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
